 LOGIN|127.0.0.1|2017-08-29|16:13
LOGOUT|127.0.0.1|2017-08-29|16:13
 LOGIN|127.0.0.1|2017-08-29|16:28
LOGOUT|127.0.0.1|2017-08-29|16:36
 LOGIN|127.0.0.1|2017-09-01|02:16
 LOGIN|127.0.0.1|2017-09-01|12:06
LOGOUT|127.0.0.1|2017-09-01|12:09
 LOGIN|127.0.0.1|2017-09-01|12:09
LOGOUT|127.0.0.1|2017-09-01|12:42
 LOGIN|127.0.0.1|2017-09-01|12:42
LOGOUT|127.0.0.1|2017-09-01|12:42
 LOGIN|127.0.0.1|2017-09-01|12:42
LOGOUT|127.0.0.1|2017-09-01|12:42
 LOGIN|127.0.0.1|2017-09-01|12:54
LOGOUT|127.0.0.1|2017-09-01|12:54
 LOGIN|127.0.0.1|2017-09-01|12:54
 LOGIN|127.0.0.1|2017-09-01|15:03
 LOGIN|127.0.0.1|2017-09-01|15:08
LOGOUT|127.0.0.1|2017-09-01|15:11
 LOGIN|127.0.0.1|2017-09-01|15:12
LOGOUT|127.0.0.1|2017-09-01|15:19
 LOGIN|127.0.0.1|2017-09-01|15:19
LOGOUT|127.0.0.1|2017-09-01|15:27
 LOGIN|127.0.0.1|2017-09-01|15:27
LOGOUT|127.0.0.1|2017-09-01|15:27
 LOGIN|127.0.0.1|2017-09-01|15:27
LOGOUT|127.0.0.1|2017-09-01|15:28
 LOGIN|127.0.0.1|2017-09-01|15:28
LOGOUT|127.0.0.1|2017-09-01|15:31
 LOGIN|127.0.0.1|2017-09-01|15:32
LOGOUT|127.0.0.1|2017-09-01|15:32
 LOGIN|127.0.0.1|2017-09-01|15:32
LOGOUT|127.0.0.1|2017-09-01|15:32
 LOGIN|127.0.0.1|2017-09-01|15:33
LOGOUT|127.0.0.1|2017-09-01|15:55
 LOGIN|127.0.0.1|2017-09-01|15:58
LOGOUT|127.0.0.1|2017-09-01|16:27
 LOGIN|127.0.0.1|2017-09-01|16:27
 LOGIN|127.0.0.1|2017-09-02|00:32
 LOGIN|127.0.0.1|2017-09-02|14:47
LOGOUT|127.0.0.1|2017-09-02|15:30
 LOGIN|127.0.0.1|2017-09-02|16:16
LOGOUT|127.0.0.1|2017-09-02|16:16
 LOGIN|127.0.0.1|2017-09-02|16:17
 LOGIN|127.0.0.1|2017-09-02|16:18
 LOGIN|127.0.0.1|2017-09-02|16:21
LOGOUT|127.0.0.1|2017-09-02|16:23
 LOGIN|127.0.0.1|2017-09-02|16:24
LOGOUT|127.0.0.1|2017-09-02|16:24
 LOGIN|127.0.0.1|2017-09-02|16:24
